"season","main_character_script"
"4","Series 04 Episode 01 – The Robotic Manipulation"
"4","Scene: The apartment. A robotic arm is extracting some Chinese takeaway from a bag controlled by Howard."
"4","(arriving)"
"4","(Starts typing rapidly)"
"4","(Howard types. The hand puts up two fingers to Sheldon.)"
"4","Credits sequence."
"4","Scene: A few moments later."
"4","(phone gives text alert)"
"4","(Taps in reply)"
"4","(squeals)"
"4","(spits out drink explosively. Howard types. Robot arm hands Penny a napkin)"
"4","Scene: The hallway."
"4","(Knock, knock, knock)"
"4","Scene: Howard’s bedroom. Howard is being massaged by the robot hand."
"4","(off)"
"4","Scene: Penny’s car."
"4","Scene: The apartment."
"4","(phone rings)"
"4","(To Raj)"
"4","Scene: Penny’s car. Amy is now in the back seat."
"4","Scene: Howard’s bedroom."
"4","Scene: A restaurant."
"4","(Sheldon laugh’s strangely)."
"4","(imitates Sheldon’s laugh)"
"4","Scene: A hospital,=."
"4","(Over PA system)"
"4","(Nurse switches off computer)"
"4","(The hand lets go)"
"4","Scene: The stairwell."
"4","(on phone)"
"4","Series 04 Episode 02 – The Cruciferous Vegetable Amplification"
"4","Scene: The apartment. Sheldon has a series of whiteboards across the room."
"4","Credits sequence."
"4","Scene: The apartment."
"4","(After Raj whispers to Howard, and Howard laughs)"
"4","(after Raj whispers to him)"
"4","(Raj whispers to him)"
"4","(Raj whispers to him urgently)"
"4","Scene: Leonard’s bedroom"
"4","(off)"
"4","(Knock, knock, knock)"
"4","(Loud sound of farting)"
"4","Scene: The hallway."
"4","(squealing)"
"4","(after Raj whispers to Howard and they both laugh)"
"4","(Raj whispers. Both laugh again)"
"4","(From the bedroom area, a wheeled device consisting of a base, a tee-shirt on a coat hanger, and a computer monitor with Sheldon’s face, appears)."
"4","Scene: Sheldon’s bedroom."
"4","Scene: Leonard’s car"
"4","(Turns off screen.)"
"4","(screen switching itself back on)"
"4","Scene: A corridor at the university."
"4","Scene: The Cheesecake Factory"
"4","Scene: The hallway. Sheldon exits carrying the Apple 2."
"4","(Trips on stairs.)"
"4","Scene: The hallway. Sheldon-bot approaches Penny’s door and starts bashing into it."
"4","(Bash)"
"4","Series 04 Episode 03 – The Zazzy Substitution"
"4","Scene: The apartment."
"4","Credits sequence."
"4","Scene: The Cheesecake Factory"
"4","Scene: The stairwell."
"4","Scene: Penny’s apartment."
"4","(Penny starts rubbing her foot with a pumice stone)"
"4","Scene: The University Cafeteria."
"4","(Does a stereotyped impersonation of Bollywood dancing.)"
"4","Scene: The laundry room."
"4","Scene: The cafeteria."
"4","Scene: The apartment. Leonard arrives."
"4","(Turns to see Sheldon now has five cats)"
"4","(Knocks on Sheldon’s bedroom door)"
"4","(They enter. The room is full of cats.)"
"4","Scene: The kitchen."
"4","(Enters to find Amy)"
"4","(pretending to sneeze)"
"4","Scene: Outside. Sheldon is sitting at a table with a sign reading “Cats $20”)"
"4","Series 04 Episode 04 – The Hot Troll Deviation"
"4","Scene: The Cheesecake Factory."
"4","(laughs)"
