"season","main_character_script"
"3","Series 03 Episode 01 – The Electric Can Opener Fluctuation"
"3","Scene: Opening shows some scenes from the final episode of the previous season, followed by the caption “Three months later.” Scene then opens in lobby, with the guys arriving home from the North Pole. All have long hair and bushy beards except Sheldon, whose hair is slightly longer and who has a goatee."
"3","Leonard: Oh, thank God we’re home."
"3","Howard: I can’t believe we spent three months in that frozen hell."
"3","Raj: It was like a snowy nightmare from which there was no awakening."
"3","Sheldon: I don’t know what Arctic expedition you guys were on, but I thought it was a hoot and a half."
"3","Scene: The apartment door. Sheldon is on the phone."
"3","Sheldon: Oh, hi mom. No, I told you I’d call you when I got home, I’m not home yet. (Walks through door) Alright, I’m home. The Arctic expedition was a remarkable success, I’m all but certain there’s a Nobel Prize in my future. Actually, I shouldn’t say that. I’m entirely certain. No, mother, I could not feel your church group praying for my safety. The fact that I’m home safe is not proof that it worked, that logic is Post Hoc Ergo Propter Hoc. No, I’m not sassing you in Eskimo talk."
"3","Leonard: I’m going to go let Penny know we’re back."
"3","Sheldon: Mother, I have to go. Yeah, love you. Bye. (To his spot) Hello, old friend. (Sits) Daddy’s home."
"3","Scene: Penny’s door."
"3","Penny: Leonard, you’re back."
"3","Leonard: Yeah, I just stopped by to say… (she grabs him and kisses him) Yeah, so, hi!"
"3","Penny: Hi! (They stumble, kissing, into her apartment and slam the door shut)"
"3","Howard: Dammit, I should have gone over and told her we were back."
"3","Raj: Yeah, it was first come, first served."
"3","Credits sequence."
"3","Scene: A moment later."
"3","Sheldon: I just want you both to know, when I publish my findings, I won’t forget your contributions."
"3","Howard: Great."
"3","Raj: Thanks."
"3","Sheldon: Of course, I can’t mention you in my Nobel acceptance speech, but when I get round to writing my memoirs you can expect a very effusive footnote, and perhaps a signed copy."
"3","Raj: We have to tell him."
"3","Sheldon: Tell me what?"
"3","Howard: Damn his Vulcan hearing."
"3","Sheldon: You fellows are planning a party for me, aren’t you?"
"3","Howard: Okay, Sheldon, sit down."
"3","Sheldon: If there’s going to be a theme, I should let you know that I don’t care for luau, toga or under the sea."
"3","Howard: Yeah, we’ll keep that in mind, look, we need to talk to you about something that happened at the North Pole."
"3","Sheldon: If this is about the night the heat went out, there’s nothing to be embarrassed about."
"3","Raj: It’s not about that."
"3","Howard: And we agreed to never speak of it again."
"3","Sheldon: So we slept together naked. It was only to keep our core body temperatures from plummeting."
"3","Howard: He’s speaking about it."
"3","Raj: For me, it was a bonding moment."
"3","Howard: Sheldon, you remember the first few weeks we were looking for magnetic monopoles and not finding anything and you were acting like an obnoxious, giant dictator?"
"3","Raj: I thought we were going to be gentle with him."
"3","Howard: That’s why I added the tator. And then when we found our first positive data, you were so happy."
"3","Sheldon: Oh, yes. In the world of emoticons, I was colon, capital D."
"3","Howard: Well, in actuality, what your equipment detected wasn’t so much evidence of paradigm-shifting monopoles as it was… static from the electric can opener we were turning on and off."
"3","Raj: He just went colon, capital O."
"3","Sheldon: You tampered with my experiment?"
"3","Howard: We had to."
"3","Raj: It was the only way to keep you from being such a huge Dickensian. You see that? I added the ensian."
"3","Sheldon: Did Leonard know about this? Leonard’s my best friend in the world. Surely Leonard didn’t know."
"3","Howard: Actually, it was his idea."
"3","Sheldon: Of course it was. The whole plan reeks of Leonard."
"3","Scene: Penny’s apartment."
