"season","main_character_script"
"9","Series 09 Episode 01 – The Matrimonial Momentum"
"9","Following a “previously on” sequence."
"9","Scene: A Wedding Chapel."
"9","Penny: So, what package are you thinking?"
"9","Leonard: Mm, this one comes with music and flowers. Oh, they even stream the whole thing live on the Internet."
"9","Penny: Why would we want that?"
"9","Leonard: ‘Cause there’s a lot of gorgeous blondes out there who don’t believe they can land a short, nearsighted scientist. Let’s give them hope."
"9","Penny: Whatever. Put us on the Internet. I’ve always wanted a wedding with a comment section."
"9","Leonard: If you’re not into this, we can do it another time."
"9","Penny: No. No, I want to. Look, we’ve put this off long enough. Let’s do it."
"9","Leonard: Aw. That’s exactly what you said the first time we slept together. (Phone) Oh, excuse me. Sheldon. Hey."
"9","(Phone)"
"9","Sheldon: Leonard, have you gotten married yet?"
"9","Leonard: No. Why?"
"9","Sheldon: Good. Don’t do it."
"9","Leonard: Why not?"
"9","Sheldon: Some important new information has come to light. Women are the worst. I thought it was paper cuts, but I was wrong. No piece of paper ever cut me this deep."
"9","Leonard: What happened now?"
"9","Sheldon: Amy has ended our relationship."
"9","Leonard: Oh, no. Seriously?"
"9","Penny: What’s going on?"
"9","Leonard: Amy broke up with Sheldon."
"9","Penny: She did?"
"9","Sheldon: Is Penny crying?"
"9","Leonard: No."
"9","Sheldon: No, of course not. They thrive on our suffering."
"9","Leonard: Buddy, I’m so sorry. Is there anything I can do?"
"9","Sheldon: Yes. If I ever talk about going out with a girl again, roll your eyes at me like I do to you when you say dumb things."
"9","Leonard: Sheldon, uh, okay, just because you’re going through this with Amy doesn’t mean that all women are bad."
"9","Sheldon: Whatever."
"9","Penny (on phone): Hey, I just heard about you and Sheldon. Are you okay?"
"9","(on phone)"
"9","Amy: Not really. Can you come over?"
"9","Penny: Uh, actually I’m in Vegas. Leonard and I are about to get married."
"9","Amy: Hold on. You’re getting married and you didn’t invite me?"
"9","Penny: Well, it was kind of a spur-of-the-moment thing."
"9","Amy: Wow. Hope I can catch the bouquet from here."
"9","Penny: Amy, don’t be like that."
"9","Sheldon: Why did I just hear Amy’s name?"
"9","Leonard: Penny’s on the phone with her."
"9","Sheldon: Did she say anything about me? Never mind. I don’t care. Well, if you care, you can find out and tell me. Just don’t be shocked when you find out that I don’t care."
"9","Penny: Okay, will you relax? You’re not missing anything special."
"9","Leonard: Hey."
"9","Penny: She’s upset. Look, it’s gonna be a great wedding. Look at you in your little suit."
"9","Sheldon: Amy’s upset? Is it about me?"
"9","Leonard: No, I think it’s because we’re eloping."
"9","Sheldon: Your marriage is causing her pain? Yeah, great, I take it back. Go ahead and do it. Yay for love."
"9","Credits sequence."
"9","Scene: Outside Amy’s apartment."
"9","Sheldon: Hello."
"9","Amy: Oh. What are you doing here?"
"9","Sheldon: When last we spoke, you said you needed time."
"9","Amy: Well, it’s only been 11 hours."
"9","Sheldon: The Lord of the Rings trilogy was nearly 11 hours. I made you watch that, you said it was an eternity."
"9","Amy: Sheldon, when I’m ready to talk, I’ll let you know."
"9","Sheldon: Very well. You seem to be headed somewhere. May I walk with you?"
"9","Amy: Sure."
"9","Sheldon: Boy, I’m glad we’re going out again."
"9","Amy: We’re not back together."
"9","Sheldon: Why? Is there someone else? Just couldn’t wait for that first notch on your bedpost, could you?"
"9","Amy: If you must know, I’m going to Howard and Bernadette’s to watch the wedding."
"9","Sheldon: And who’s this guy you’re taking?"
"9","Amy: There’s no guy."
"9","Sheldon: Oh, you’re going to a wedding alone? That’s sad."
"9","Amy: I’m not gonna be alone. I’ll be with my friends."
"9","Sheldon: Your friends? Well, I think you mean my friends. And why wasn’t I invited to this?"
"9","Amy: Maybe because the two of us being there would make them feel awkward."
"9","Sheldon: We make everyone feel awkward. That’s our thing."
"9","Scene: The Wedding Chapel."
"9","Leonard: They’re running a little behind. Should be pretty soon."
"9","Penny: Okay."
"9","Leonard: Hey, if you’re hungry, there’s a breakfast buffet at the strip club next door."
"9","Penny: Thanks, but I don’t like glitter on my scrambled eggs."
"9","Leonard: I don’t think the strippers prepare the meal, but okay. Look, it’s not how I pictured it either, but I’m still glad we’re doing it."
"9","Penny: Me, too."
"9","Leonard: You sure?"
"9","Penny: Yes."
"9","Leonard: And you promise you’re okay with everything from the car?"
"9","Penny: Oh, my God, would you stop bringing it up?"
"9","Leonard: You’re right. I’m sorry. We have the rest of our lives to dredge stuff up from the past and fight about it. So what do you think? Should we run next door and grab a bite?"
"9","Penny: What if they call our names?"
"9","Leonard: Oh, don’t worry. They gave me this vibrating coaster."
"9","Penny: Oh, and the fairy tale continues."
"9","Scene: Howard and Bernadette’s House."
"9","Amy: Thank you for doing this."
"9","Bernadette: Our pleasure. You feeling okay?"
"9","Amy: We were together for so long, I honestly don’t know what I’m feeling."
"9","Howard: Well, that’s understandable. You forgot. It’s called happy."
"9","Bernadette: Howard."
"9","Howard: I’m not saying anything bad. Just that she was in love with her captor and somehow managed to escape from his dark and crazy dungeon."
"9","Stuart: I know what you’re going through. My, my, my last breakup was pretty tough."
"9","Amy: Oh. What was her name?"
"9","Stuart: Hey, it’s a true story. I don’t need the third degree."
"9","Bernadette: For God’s sake, Sheldon, what are you doing?"
"9","Sheldon: I didn’t want to come in. I was told it would make everyone feel uncomfortable. So I’ll just stay out here and pretend that I don’t have to go to the bathroom."
"9","Bernadette: Howard, do something."
"9","Howard: I’m on it."
"9","Amy: Sheldon, you being here might not be making things better."
"9","Sheldon: I see. And is that why everybody was invited but me?"
"9","Amy: They didn’t invite everybody but you.Bernadette invited me, and Stuart lives here."
"9","Raj: Who wants hot cinnamon rolls?"
"9","Official: So, when you hear the music, that’s your cue. Any questions?"
"9","Leonard: Oh, the package that we paid for said the aisle was supposed to be strewn with rose petals."
"9","Official: Where are the rose petals?!"
"9","Female Voice We’re out"
"9","Leonard: You know what? It’s fine."
"9","Female Voice: We can use the potpourri from the bathroom!"
"9","Penny: Really, we’re good."
"9","Leonard: Yup, just want to get married."
"9","Penny: Yeah."
"9","Official: Great. I’ll see you two up there."
"9","Leonard: This is it."
"9","Penny: I know."
"9","Leonard: I love you."
"9","Penny: I love you, too."
"9","Female Voice: Was that a yes or no on the potpourri?"
"9","Penny: No, thank you."
"9","Leonard: We’re good."
"9","Sheldon: Raj, you’re probably wondering why Amy and I aren’t showing any affection to one another."
"9","Raj: Didn’t even crack the top ten."
"9","Sheldon: Well, you should know that she recently broke up with me."
"9","Amy: I said I needed time to think."
"9","Raj: I’m sure you guys will figure something out."
"9","Sheldon: You hear that? Raj is devastated."
"9","Bernadette: Sheldon, shh. The wedding’s starting."
"9","Sheldon: I see what’s happening. Sides are forming. Well, if Bernadette’s on Amy’s team, I pick Howard."
"9","Howard: I’m not taking sides."
"9","Sheldon: Fine, I guess I’m stuck with Raj."
"9","Raj: Really?"
"9","Stuart: At least you got picked."
"9","Official: Before I go any further, have either of you prepared your own vows?"
"9","Leonard: Yes."
"9","Penny: No. You wrote vows?"
"9","Leonard: Yeah."
"9","Penny: Well, I don’t have any. You’re kind of making me look bad."
"9","Leonard: It’s okay. I don’t have to say them."
"9","Penny: No, no, no, go ahead. I’ll come up with something mushy, you’ll cry, we got this."
"9","Leonard: Penny, we are made of particles that have existed since the moment the universe began. I like to think those atoms travelled 14 billion years through time and space to create us, so that we could be together and make each other whole."
"9","Penny: Wow."
"9","Official: Penny?"
"9","Penny: Right. Um, okay. Leonard, I mean, you’re not only the love of my life. I mean, you’re my best friend, and, you’ve got a friend in me. You got troubles. I got ’em, too. There isn’t anything I wouldn’t do for you. We stick together, and we can see it through, ’cause you’ve got a friend in me."
"9","Official: Is that the song from Toy Story?"
"9","Penny: He loves that movie."
"9","Leonard: I do."
"9","Scene: Howard and Bernadette’s house."
"9","Bernadette: Aw, that was beautiful."
"9","Howard: Yeah. I mean, not like our wedding beautiful."
"9","Bernadette: No, we totally won."
"9","Sheldon: Amy, I don’t understand, are we broken up or not? It’s like you can’t make up your mind."
"9","Amy: It’s because you’re not giving me any space to think."
"9","Sheldon: Well, you should think fast, because men can sire offspring their entire lives, but those eggs you’re toting around have a sell-by date."
"9","Amy: You know what, Sheldon, you’ve made this really easy. You’re immature, you’re selfish, you just insulted me to my face. I don’t need any more time to think. We’re broken up."
"9","Bernadette: Amy."
"9","Sheldon: Will someone take me home?"
"9","Raj: Yeah. Come on, I’ll give you a ride."
"9","Official (voice from computer) …symbolizes your eternal love. I now pronounce you husband and wife."
"9","(voice from computer)"
"9","Penny: We did it."
"9","Leonard: Yeah, I’m so glad you guys could watch."
"9","Howard: We’ll say it was beautiful in the comment section."
"9","Scene: Hotel corridor."
"9","Leonard: No, no, no. Hang on. I believe I’m supposed to carry you across the threshold."
"9","Penny: Can you?"
"9","Leonard: Who do you think carries Sheldon to bed when he falls asleep in front of the TV?"
"9","Penny: Okay, let’s do it. You gonna make it?"
"9","Leonard: I’m okay."
"9","Penny: Nicely done."
"9","Leonard: Thank you. Finally, there’s a Mrs. Hofstadter who isn’t disappointed in me."
"9","Penny: Well, the night is still young."
"9","Leonard: Everything all right?"
"9","Penny: Yeah. I guess."
"9","Leonard: Just tell me."
"9","Penny: It’s just, when we were kissing, I couldn’t help but picture you with that other girl."
"9","Leonard: Oh, no. No, come on. I have a friend in you. You said so."
"9","Penny: You’re right. Just forget it."
"9","Leonard: Yeah. Okay, listen. If you’re imagining that it was sexy, it wasn’t. We, we were both drunk, and she smelled like an ashtray. The boat was moving a lot, so I chipped her tooth."
"9","Penny: Did you feel guilty?"
"9","Leonard: No, she had dental insurance."
"9","Penny: Did you feel guilty after kissing her?"
"9","Leonard: Yes. I felt guilty as soon as it happened. I feel guilty every time I see her."
"9","Penny: What do you mean, every time you see her?"
"9","Leonard: What do I mean? Boy, that’s a toughie."
"9","Penny: You still see her?"
"9","Leonard: Well, no, not socially. But, you know, just at work."
"9","Penny: You work with her? How could you not tell me that?"
"9","Leonard: I wanted to tell you in the car, but you told me to stop talking"
"9","Penny: Oh, okay. So you’re saying this is my fault?"
"9","Leonard: No, of course not. Okay, look, instead of fighting, why don’t we dim the lights, um, get naked and make a baby? I was trying to lighten the mood. It’s not easy. You try it."
"9","Scene: The apartment."
"9","Sheldon (on phone): Hello, Mother."
"9","Mrs Cooper: Shelly! How’s my baby doing?"
"9","Sheldon: I just wanted to let you know that you can remove Amy from your nightly prayers. Unless you’re open to praying for a beehive to fall on her head."
"9","Mrs Cooper: Oh, what’s going on?"
"9","Sheldon: She broke up with me."
"9","Mrs Cooper: Oh, Shelly."
"9","Sheldon: No, I’ll be okay. But I think that I’d like to send the ring back to you."
"9","Mrs Cooper: Well, let’s not be hasty. Are you sure it’s over for good?"
"9","Sheldon: It’s over for me. I’m done with women. Like when I swore off Pop Rocks. They both hurt you on purpose."
"9","Mrs Cooper: You want to tell me what happened?"
"9","Sheldon: Are you going to say it’s all part of God’s plan?"
"9","Mrs Cooper: Good chance."
"9","Sheldon: Then no, thank you."
"9","Mrs Cooper: Well, honey, don’t send it back yet. Your sister’s married, and I’m not letting your brother give my grandmother’s ring to that whore he’s dating."
"9","Sheldon: Wasn’t Mary Magdalene a woman of ill repute?"
"9","Mrs Cooper: When your idiot brother redeems mankind, he can date whoever he wants."
"9","Bernadette: I know it hurts now, but it’s gonna get better."
"9","Amy: Yeah."
"9","Howard: Everything’s gonna be okay."
"9","Stuart: You’ve got so much to offer."
"9","Amy: Thank you."
"9","Stuart: Any man would be lucky to have you."
"9","Bernadette: That’s true."
"9","Amy: I just hope I did the right thing."
"9","Stuart: I’m sure you did. Maybe that’s the problem, you always do the right thing. Maybe it’s time to do the wrong thing."
"9","Amy: Like you’re doing right now?"
"9","Stuart: Exactly."
"9","Scene: The stairwell."
"9","Leonard: I asked you over and over if you were okay. Why would you go through with the wedding if you weren’t?"
"9","Penny: I thought I was okay, but it turns out I’m not."
"9","Leonard: Okay, listen, I may not have been entirely faithful, but you, you are not easy to lift."
"9","Sheldon: Wow. Well, marriage must agree with you. Well, you are just glowing."
"9","Leonard: I’m not glowing. I’m upset."
"9","Sheldon: Well, whatever it is, it agrees with you."
"9","Scene: Penny’s apartment."
"9","Sheldon (outside): Knock, knock, knock, Penny? Knock, knock, knock, Penny? Knock, knock, knock, Penny?"
"9","(outside)"
"9","Penny: What’s this?"
"9","Sheldon: Leonard told me what happened, so I took it upon myself to make you a hot beverage."
"9","Penny: Oh. That’s so sweet of you."
"9","Sheldon: Yeah. I know. Turns out, being sweet isn’t enough to keep a girl these days. I blame Madonna."
"9","Penny: I’m sorry to hear about you and Amy."
"9","Sheldon: Well, I’m sorry about Leonard. Thought I raised him better than that."
"9","Penny: You know, it’s bad enough what happened, but then he tried to hide the fact that he sees her all the time at the university."
"9","Sheldon: He does? Who is it?"
"9","Penny: Some girl named Mandy."
"9","Sheldon: Mandy Chao?"
"9","Sheldon: Oh, you don’t need to worry about her. She’s brilliant and attractive. She can do way better"
"9","than Leonard."
"9","Penny: That’s great."
"9","Sheldon: Wait a minute. I know this may sound far fetched, but I’m on the market now. You know, if I dated Mandy, that would teach both Leonard and Amy a lesson."
"9","Penny: That’s ridiculous."
"9","Sheldon: Oh, you’re right. I could never be with a woman whose self-esteem was so low she’d be with Leonard."
"9","Penny: I’m with Leonard."
"9","Sheldon: Yeah, I know. Forever. Who would have believed these things would happen to us?"
"9","Penny: Right? I can’t believe Amy actually went through with it."
"9","Sheldon: Hang on. You knew that she was going to end it with me? Did you try and stop her?"
"9","Penny: I told her to be true to herself and do what makes her happy."
"9","Sheldon: Do what makes her happy? She plays the harp and her car is paid for. How much happier can she be?"
"9","Penny: Okay, look, it’s not my fault that she thought you were a bad boyfriend."
"9","Sheldon: I see. Well, I think I’ll be going."
"9","Penny: Sheldon."
"9","Sheldon: No, no, no, no. We are done here. Would you mind opening the door and then angrily slamming it behind me?"
"9","Penny: Sure."
"9","Sheldon: Thank you. And slam it hard, because I am pretty steamed."
"9","Howard (on phone): All right, Leonard, hang in there. Talk to you tomorrow."
"9","Bernadette: What happened? They just got married."
"9","Howard: I don’t know. It’s a mess. They had a huge fight in Vegas."
"9","Bernadette: Think they’ll break up?"
"9","Howard: I don’t know. Sounds pretty bad. Penny’s back in her apartment all by herself."
"9","Stuart: Really?"
"9","Sheldon: Would you like to hear another reason why men are better than women?"
"9","Leonard: Sure, let’s make it an even hundred."
"9","Sheldon: You would never kiss me and make me say I love you and then break up with me."
"9","Leonard: I wouldn’t."
"9","Sheldon: And you know why? ‘Cause you’re a man. The champagne of genders."
"9","Leonard: Well, I may be a man, but I think I’m the one that screwed up on this one."
"9","Sheldon: Yeah, well, and you admit it, like a man. All you hear women say is, I’ll just have a salad. You know? Where’s my lip gloss? I think this element should be called radium. That last one was Madame Curie."
"9","Leonard: I figured that out."
"9","Sheldon: You know what? She was kind of an honorary man. She had a penis made of science."
"9","Leonard: Can’t believe I’m spending my wedding night with you."
"9","Sheldon: Really? I never imagined it any other way."
"9"," "
"9","Series 09 Episode 02 – The Separation Oscillation"
"9","Scene: The apartment."
"9","Sheldon: Why are you up?"
"9","Leonard: How am I supposed to sleep? I’ve been married less than 24 hours, and my wife isn’t speaking to me."
"9","Sheldon: Perhaps you can think of this n a more positive light. In one day, you’ve managed to do what it takes many couples decades to achieve."
"9","Penny (entering): Hi."
"9","(entering)"
"9","Leonard: Hey."
"9","Penny: You couldn’t sleep either?"
"9","Leonard: Of course not."
"9","Sheldon: Me neither. But I just had a tickle in my throat, not profound marital problems."
"9","Leonard: What are we gonna do?"
"9","Penny: I don’t know."
"9","Leonard: Please, tell me how I can fix it."
"9","Sheldon: Glad you asked. As I see it, there’s a simple solution. Your lips had a dalliance with the lips of another woman. It seems only logical that to restore balance to the relationship, you should find another man and dally with him. And by dally, I mean some hardcore mouth-on-mouth action."
"9","Leonard: Okay, that is the stupidest thing I’ve ever heard."
"9","Penny: Actually, I think he’s onto something."
"9","Leonard: You can’t be serious. ‘Cause I messed up and made out with a girl, you’re gonna do the same with a random guy?"
"9","Sheldon: I’m currently single."
"9","Penny: That’s true. You are."
"9","Leonard: What is happening?"
"9","Sheldon: I will tell you what is happening. I am saving my best friend’s marriage."
"9","Leonard (waking up): U-u-u-uh!"
"9","(waking up)"
"9","Credits sequence."
