"season","main_character_script"
"8","Series 08 Episode 01 – The Locomotion Interruption"
"8","Following a “previously on” sequence."
"8","Scene: A railway station. Sheldon is wearing no trousers."
"8","Sheldon: Excuse me. Is it at all possible that you’re knitting a pair of pants? Oh, well, no, you’re understandably terrified. But, you know, allow me to explain. 45 days ago, um, I embarked on a railroad journey of healing because my university was making me do string theory, and my favorite comic book store burned down, and when my room mate got engaged, my girlfriend wanted to move in with me, which was no doubt a ploy just to see my, well, excuse my language, but my bathing suit parts. Uh, sir, may I use your phone?"
"8","Man: I don’t think so."
"8","Sheldon: Yeah, well, I understand that I’m half naked, but there is a reasonable explanation. While I slept in my sleeper car, all my possessions were stolen. Now, typically, I wear pyjamas, but I recently adopted a hobo lifestyle and pyjamas are the sleep-pants of the Man. I’ll have you know, Mahatma Gandhi wore no pants and a nation rallied behind him. My good man, now, before you walk away, I know that I may appear deranged, but I am, in fact, a world-renowned physicist. Ask me the difference between a boson and a fermion. Go ahead, ask. Bosons have integer spin, fermions have half-integer spin. My legs are getting cold. Why won’t anybody help me?"
"8","Credits sequence."
"8","Scene: The apartment."
"8","Leonard: Morning."
"8","Penny: Hi. Want to do yoga with me?"
"8","Leonard: Um, let me just have some coffee first, and then I’ll have the strength to tell you how much I won’t be doing that. (Phone rings) Hello?"
"8","(Phone rings)"
"8","Sheldon: Hello, Leonard."
"8","Leonard: Hey, buddy. Good to hear your voice."
"8","Sheldon: Uh, I’m in Kingman, Arizona, and, uh, I need you to come pick me up."
"8","Leonard: I’d love to. I’m just about to do yoga with Penny."
"8","Sheldon: Leonard, I’m at the police station. I was robbed. They took my phone, my wallet, my iPad, everything."
"8","Leonard: Oh, my God, are you okay?"
"8","Sheldon: No, I’m not okay. Uh, I’m wearing borrowed pants, I don’t have I.D., and one of the officers here won’t stop calling me chicken legs."
"8","Leonard: Okay. Uh, I’ll, I’ll come get you. What’s the address?"
"8","Penny: Hey, what’s going on?"
"8","Leonard: He got all of his stuff stolen."
"8","Penny: Oh."
"8"," "
"8","Sheldon: 2530 East Andy Devine Avenue,"
"8","Leonard: Okay."
"8","Sheldon: Hurry."
"8","Leonard: Sheldon, hang tight. Hey, do you want me to bring anything?"
"8","Sheldon: Oh, yes, please. A pair of pants. And my toothbrush. Yeah, and my mail. And a really good comeback for chicken legs, because “I know you are, but what am I?” was met with stony silence."
"8","Leonard: I’ll be there as soon as I can."
"8","Penny: Is he okay?"
"8","Leonard: Yeah, he’s fine, he’s just a little rattled."
"8","Leonard: Feel like driving to Arizona with me?"
"8","Penny: I can’t, I have that job interview."
"8","Leonard: Oh, right."
"8","Penny: Besides, I don’t need six hours of your hair is different, why did you change your hair? I’m holding my breath until your hair grows back."
"8","Leonard: All right, fine. Hey, can you think of a reason I shouldn’t invite Amy to come with me?"
"8","Penny: Nope."
"8","Leonard: Come on, you didn’t even try."
"8","Scene: Howard’s car."
"8","Raj: Thanks for the lift."
"8","Howard: What’s wrong with your car?"
"8","Raj: I’m having my windows untinted."
"8","Howard: Why?"
"8","Raj: Got a hot girlfriend now. I want the haters to know."
"8","Howard: What are you talking about? No one’s paying attention to you."
"8","Raj: Wow. How’s that Hater-Ade taste, bro? Hey, this isn’t the way to work."
"8","Howard: I just want to pop in and make sure Ma’s okay."
"8","Raj: I thought Stuart was looking after her."
"8","Howard: He was, but now that her cast is off, he moved out. And honestly, I’m kind of glad. It was getting a little weird."
"8","Raj: How so?"
"8","Howard: I don’t know, they’re, chummy."
"8","Raj: Like us?"
"8","Howard: No, not like us. Creepy chummy, like you and your dog."
"8","Raj: She feeds him out of her own mouth?"
"8","Howard: I mean, he calls her Debbie, she calls him Stewie and they’re all giggly around each other. And believe me, when food goes in that mouth, it does not come out."
"8","Raj: So are you worried because he’s replacing you as a son or are you worried because he’s becoming her lover?"
"8","Howard: First of all, no one can replace me as a son. I’m her little matzo ball. And secondly, my mother is well past having any kind of sex life."
"8","Raj: Okay, okay. Although many older women lead vibrant, active…"
"8","Howard: I said well past it."
"8","Scene: Kingman Police Station."
"8","Sheldon: Excuse me, Officer Hernandez? Any leads on the person who stole my belongings?"
"8","Hernandez: Not yet."
"8","Sheldon: Well, perhaps I can help. Sherlock Holmes always says when you eliminate the impossible, whatever remains, however improbable, must be the truth. Now, have, have you tried doing that?"
"8","Hernandez: Nope."
"8","Sheldon: Well, maybe you should. There’s lots of books called Sherlock Holmes, and there’s no books called Officer Hernandez."
"8","Scene: Leonard’s car."
"8","Leonard: Thanks again for coming. Six hours was gonna be a long drive by myself."
"8","Amy: My pleasure. And I’m not angry at all that my boyfriend was in trouble and called you instead of me. I love that,"
"8","Leonard: Yeah, time’s gonna fly by."
"8","Scene: Howard and Bernadette’s apartment."
"8","Penny: I haven’t been on a job interview in years. I’m really nervous."
"8","Bernadette: Don’t be. You are built for pharmaceutical sales. You’re cute, you’re flirty and started that like there were gonna be three things."
"8","Penny: I don’t have any experience in sales. Unless you count the bikini car wash I did in high school. But you already made me take that off my résumé."
"8","Bernadette: This job is a lot like being a waitress, except instead of pushing the fish tacos ’cause they’re about to go bad, you’re just pushing our antidepressants before the FDA finds out they may cause rectal bleeding."
"8","Penny: They do?"
"8","Bernadette: Maybe. But like our lawyers say, the world is full of things that can cause a rectum to bleed. Anyway, I talked you up to Dan. He’s the guy who’ll be interviewing you."
"8","Penny: Oh, I really appreciate this. I just hope I’m not in over my head."
"8","Bernadette: You’ll be fine. Just be yourself."
"8","Penny: I wish I felt more confident."
"8","Bernadette: Penny, I wouldn’t have put you up for this job if I didn’t think you could handle it."
"8","Penny: Oh, thank you, but maybe I should cancel."
"8","Bernadette: It’s too late to cancel. You’re going."
"8","Penny: But I don’t know anything about pharmaceuticals."
"8","Bernadette: Oh, I understand. You want to do something you’re already good at. I know. Why don’t I get you a job at the Sitting Around All Day Wearing Yoga Pants Factory?"
"8","Penny: They’re comfortable."
"8","Scene: Mrs Wolowitz’s house."
"8","Howard: Ma, I hope you’re decent. Raj is here. You just started seeing naked women again, and I don’t want you to be confused about where the boobs should be."
"8","Stuart: Oh, hey, guys. What are you doing here?"
"8","Howard: Uh, what are you doing here? I thought you moved out."
"8","Stuart: Oh, yeah, I was going to, and then Debbie and I got to talking over dinner the other night. I didn’t have any place to go, she likes having me around, so we both said, why leave? at the same time. It was precious."
"8","Howard: It’s not that precious."
"8","Raj: I’d like to back you up, but it sounds like it was pretty precious."
"8","Mrs Wolowitz (off): Stewie, I can’t find my glasses."
"8","(off)"
"8","Stuart: Be right there, Deb Deb. They’re probably on her head."
"8","Howard: Or in her neck. Listen. You staying here seems like something she would’ve talked to me about."
"8","Stuart: Well, maybe if you called your mother more often, you’d know."
"8","Raj: It wouldn’t kill you to pick up the phone."
"8","Sheldon: Any word on my stolen items?"
"8","Hernandez: We’re doing everything we can."
"8","Sheldon: You know, Sherlock Holmes liked to use cocaine to sharpen his focus. But I’m sure those Cool Ranch Doritos are doing the trick."
"8","Leonard: Sheldon."
"8","Sheldon: Leonard. Oh, I’m so happy to see you."
"8","Amy: Are you okay?"
"8","Sheldon: Oh, I’m fine. Why did you come?"
"8","Amy: What do you mean, why did I come? You’re my boyfriend. I haven’t seen you in over a month. I just drove six hours to help you out. Don’t you have anything to say besides why did you come?"
"8","Sheldon: I do, but, I feel uncomfortable saying it out loud in front of these police officers."
"8","Amy: Fine. Whisper it."
"8","Sheldon (whispers): Shotgun."
"8","(whispers)"
"8","Leonard: So, Sheldon, tell us about your trip. Where’d you go?"
"8","Sheldon: Where didn’t I go? I went to New York, Chicago, Atlanta, Denver, Seattle."
"8","Leonard: How were they?"
"8","Sheldon: Oh, I have no idea. I never left the train station."
"8","Leonard: Hang on. You travelled across the entire country and never left a train station?"
"8","Sheldon: Why would I? That’s where all the cool trains are."
"8","Leonard: I’m sorry, so you never went outside?"
"8","Sheldon: Or had a single piece of fruit."
"8","Scene: Pharmaceutical Company Office."
"8","Dan: So, why do you think you’d make a good pharmaceutical sales rep?"
"8","Penny: Well, I’m a people person. People like me. Some of my favourite people are people. I feel like I’m saying people a lot. People, people, people. Okay, I’m done."
"8","Dan: You sure?"
"8","Penny: People. Yes."
"8","Dan: Good. So, how do you feel your previous job experience has prepared you for a career like this?"
"8","Penny: Uh, well, as a waitress, sales was a big part of my job. I mean, believe me, I convinced a lot of very large customers, who should not be eating cheesecake, to have more cheesecake. I mean, one of those chubsters even had an insulin pump."
"8","Dan: Uh-huh. I have an insulin pump."
"8","Penny: People."
"8","Howard: It’s weird, right? A grown man in his thirties living with my mother."
"8","Raj: That is weird. I thought he was, like, 45."
"8","Howard: Come on, you don’t think it’s a little odd?"
"8","Raj: I don’t know. I mean, she’s lonely. He needs a place to stay. I doubt there’s any funny business going on. And even if there was, who cares? They’re both adults."
"8","Howard: Who cares? You wouldn’t care if I slept with your mom?"
"8","Raj: You know what? You’re my best friend, and she’s in a bad marriage. I give you my blessing."
"8","Howard: This is stupid. I’m just gonna call my mother and be honest with her."
"8","Raj: ‘Cause that’s what little matzo balls do."
"8","Stuart (voice on answerphone): This is Debbie."
"8","(voice on answerphone)"
"8","Mrs Wolowitz (voice on answerphone): And this is Stuart."
"8","Together: Just kidding."
"8","Stuart (voice on answerphone): Leave a message."
"8","Raj: This is the part where you talk."
"8","Dan: All right, let’s say a physician was prescribing one of our competitor’s drugs. How would you convince them to switch to ours?"
"8","Penny: Um, any chance his car needs to be washed by a girl in a bikini? No. Okay, I’m really sorry for wasting your time."
"8","Dan: Don’t worry about it. Thanks for stopping by."
"8","Penny: Okay, thanks. Um, I’m sorry, listen, could you do me a favour and not tell Bernadette how badly I blew this interview? She’ll get upset. And honestly I’m a, a little terrified of her."
"8","Dan: Wait, wait. You’re scared of Bernadette?"
"8","Penny: Yeah, kind of."
"8","Dan: I thought it was just me. Everyone thinks she’s so nice with that squeaky little voice."
"8","Penny: I know, but she’s kind of a bully."
